path,dtype,fill_pct,distinct_count,sample_value
prices.discountRateLabel,VARCHAR,100.0,81,%0
prices.discountedPrice,BIGINT,100.0,2013,54800
prices.discountedPriceLabel,VARCHAR,100.0,2013,"548,00 TL"
prices.discountedText,VARCHAR,100.0,1,Gratis Kart ile
prices.normalPrice,BIGINT,100.0,1499,54800
prices.normalPriceLabel,VARCHAR,100.0,1499,"548,00 TL"
prices.promotionLabel,VARCHAR,100.0,2,250 TL ve Üzeri Alışverişe
prices.promotionPrice,BIGINT,100.0,2122,13700
prices.promotionPriceLabel,VARCHAR,100.0,2122,"137,00 TL"
reviewAverage,DOUBLE,85.1,40,2.2
reviewCount,BIGINT,85.1,348,4
shareLink,VARCHAR,100.0,13114,https://www.gratis.com/dudak-kalemi/love-generation-jel-dudak-kalemi-lip-pleasure-05-smart-gel-lip-liner-with-matte-fini
stockStatus,VARCHAR,100.0,4,HIGH
variantCount,VARCHAR,45.1,45,5 Renk
variants.type,VARCHAR,44.1,4,color
variants.values,"STRUCT(id VARCHAR, ""value"" VARCHAR)[]",44.1,1283,"[{'id': 10209534, 'value': 'https://api.gratis.retter.io/1oakekr4e/CALL/Image/getImage/10209534-S8ndGPkvOW-variant_1024x"
